model,N,start_date,end_date,MSE,MSE_benchmark,OOS_R2_vs_HM,MAE,MAE_benchmark,MAE_gain,MSE_F,robustness
Baseline SOP train=60,924,1948-01-31,2024-12-31,0.0018189094408362055,0.0017807985313687577,-0.021401022516654322,0.032522114645365724,0.03216242793186186,-0.00035968671350386505,-19.360216378739917,training_window
VIX-enhanced SOP train=60,359,1995-02-28,2024-12-31,0.001996265616294416,0.001943630440325774,-0.027080855946987503,0.033967232319600464,0.03352241765003817,-0.0004448146695622962,-9.465688342525526,vix_training_window
Baseline SOP train=120,924,1948-01-31,2024-12-31,0.001777929425602105,0.0017807985313687577,0.0016111343962348368,0.032132645156033195,0.03216242793186186,2.9782775828664232e-05,1.4910905293607886,training_window
VIX-enhanced SOP train=120,299,2000-02-29,2024-12-31,0.0019888919969310473,0.0019648855761974227,-0.01221771945625627,0.03342256274931231,0.0333163201198519,-0.00010624262946040686,-3.6090043151813287,vix_training_window
Baseline SOP train=180,924,1948-01-31,2024-12-31,0.001772170315691351,0.0017807985313687577,0.004845138585539366,0.03207341741946311,0.03216242793186186,8.901051239874891e-05,4.4987049017427605,training_window
VIX-enhanced SOP train=180,239,2005-02-28,2024-12-31,0.0018735643185973834,0.0018866154062188029,0.0069177255620830325,0.032190749951361584,0.03248529733686316,0.0002945473855015743,1.6648534083176862,vix_training_window
Baseline SOP train=240,924,1948-01-31,2024-12-31,0.001770529382480925,0.0017807985313687577,0.005766597796966755,0.032137162427499436,0.03216242793186186,2.5265504362423363e-05,5.359240951461361,training_window
VIX-enhanced SOP train=240,179,2010-02-28,2024-12-31,0.001740719039722918,0.0017643126055089623,0.013372667469684685,0.032510002153881674,0.03243400738825345,-7.599476562822338e-05,2.426151595592452,vix_training_window
Baseline SOP train=300,888,1951-01-31,2024-12-31,0.001778088847988519,0.0017824516905866501,0.0024476638672296103,0.03210876658961955,0.03208481860056952,-2.3947989050032703e-05,2.17885862763451,training_window
VIX-enhanced SOP train=300,119,2015-02-28,2024-12-31,0.001910692090953651,0.001955578745536065,0.022953130721468207,0.033708200920288735,0.0339177790412436,0.0002095781209548661,2.7955901008839508,vix_training_window
Lag D12/E12 by 1m,924,1948-01-31,2024-12-31,0.0017717818788867902,0.0017807985313687577,0.005063263655679884,0.032149780100189644,0.03216242793186186,1.2647831672214782e-05,4.702264422397497,lagged_fundamentals
Winsorize ge/gm 1-99%,924,1948-01-31,2024-12-31,0.0017686059356081286,0.0017807985313687577,0.0068467013791041476,0.03211667691533729,0.03216242793186186,4.575101652457003e-05,6.3699653246654275,winsorized_components
VIX-enhanced with VIX lagged 1m,178,2010-03-31,2024-12-31,0.001762267586822562,0.0017714178080201117,0.00516547883628693,0.032600075799257056,0.032490651064419666,-0.00010942473483738918,0.9242293198506438,lagged_vix
