predictor,eval_n,oos_r2,model_mse,hist_mse,model_mae,hist_mae,mae_improvement,last_forecast,tier
wtexas,924,0.0042238852918528025,0.0017735796992723633,0.0017811028735030296,0.03211932403679524,0.032222244376122415,0.00010292033932717687,0.008677623193885079,Best 3
corpr,924,0.004113488572338175,0.0017737763271867162,0.0017811028735030296,0.032161648810133905,0.032222244376122415,6.0595565988509625e-05,0.008855032925950464,Best 3
b/m,924,0.002624376044296328,0.0017764285897893808,0.0017811028735030296,0.03227374135596806,0.032222244376122415,-5.149697984564716e-05,0.006209643369083887,Best 3
ntis,924,0.0004119302974709971,0.001780369183266521,0.0017811028735030296,0.03204330074467702,0.032222244376122415,0.00017894363144539682,0.009489859652996252,Middle
ygap,620,0.00031642866457737284,0.0020005606361326606,0.0020011938712368965,0.03363350577826317,0.03369865619199978,6.51504137366074e-05,0.007742196195560323,Middle
infl_y,694,0.00025596468426059005,0.0019429678171532232,0.001943465275628871,0.03316137609052918,0.03341206903806462,0.0002506929475354358,0.009199641654018018,Middle
ms,924,0.005936485297622807,0.001770529382480925,0.0017811028735030296,0.032137162427499436,0.032222244376122415,8.508194862297952e-05,0.006304386615263263,SOP baseline
rdsp,924,-0.0028898236410068723,0.001786249946693944,0.0017811028735030296,0.032248490602054036,0.032222244376122415,-2.6246225931621237e-05,0.008230819246657688,Worst 3
d/e,924,-0.0033756999482796868,0.0017871153423809944,0.0017811028735030296,0.032189273410396464,0.032222244376122415,3.297096572595082e-05,0.007874887805325246,Worst 3
disag,276,-0.007005145284017855,0.0018958257301655303,0.0018826375803976927,0.032368383925716705,0.03253751763524502,0.00016913370952831297,0.009920750421374972,Worst 3
